,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,"""SALVAGEABLE ITEM NAME""",Sample Size,Salvage Value,,,,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,---Salvageable Item ID---,1416,208.9,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Refineable?,Refined Value Change,Value,Max Value,,,Refined ID,Quantity,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,19726,692,Soft Wood Log,35,25,29.75,24220,0.488700565,TRUE,7,14.5,17.4,,,#N/A,0,,,,,,,,,,,,,,,,,,,,,
,19725,446,Ancient Wood Log,157,141,133.45,70022,0.3149717514,TRUE,40,42.0,52.7,,,#N/A,0,,,,,,,,,,,,,,,,,,,,,
,19727,729,Seasoned Wood Log,106,85,90.1,77274,0.5148305085,TRUE,0,46.4,46.4,,,#N/A,0,,,,,,,,,,,,,,,,,,,,,
,19724,679,Hard Wood Log,195,160,165.75,132405,0.479519774,TRUE,16,79.5,86.0,,,#N/A,0,,,,,,,,,,,,,,,,,,,,,
,19722,188,Elder Wood Log,32,30,27.2,6016,0.1327683616,TRUE,-0.3,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
,19723,163,Green Wood Log,22,15,18.7,3586,0.1151129944,TRUE,5.3,2.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,refined material has to be identified using the samples below,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,make some sort of sumif for the samples below?,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0,FALSE,0, , ,,,Unique Raw Material IDs,,,,,,,,,,,,,,,,,,,,,,
