,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually add conditional format to highlight ID if not included in master sample,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,SUPPLY BAG,3103,399.7,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,#ERROR!,,,,,,,,,,,,,,,,,
,19730,918,Coarse Leather Section,35,23,29.75,32130,0.2958427328,8.8,,150,19730,40,Coarse Leather Section,,300,,,,,,,,,,,,,,,,,,
,24280,263,Venom Sac,565,426,480.25,148595,0.08475668708,40.7,,,24280,11,Venom Sac,,,,,,,,,,,,,,,,,,,,
,24298,248,Totem,330,275,280.5,81840,0.07992265549,22.4,,,24298,10,Totem,,,,,,,,,,,,,,,,,,,,
,24348,261,Claw,459,419,390.15,119799,0.08411214953,32.8,,,24348,13,Claw,,,,,,,,,,,,,,,,,,,,
,19741,1246,Cotton Scrap,9,8,7.65,11214,0.4015468901,3.1,,,19741,65,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,24292,271,Vial of Blood,376,300,319.6,101896,0.08733483725,27.9,,,24292,7,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,24344,254,Bone,1384,1310,1176.4,351536,0.08185626813,96.3,,,24344,18,Bone,,,,,,,,,,,,,,,,,,,,
,24307,71,Onyx Fragment,167,104,141.95,11857,0.02288108282,3.2,,,24307,1,Onyx Fragment,,,,,,,,,,,,,,,,,,,,
,24286,253,Scale,657,615,558.45,166221,0.08153399936,45.5,,,24286,14,Scale,,,,,,,,,,,,,,,,,,,,
,24274,236,Pile of Radiant Dust,856,808,727.6,202016,0.07605543023,55.3,,,24274,6,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,24354,261,Fang,889,888,755.65,232029,0.08411214953,63.6,,,24354,12,Fang,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,385,19730,128,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24307,8,Onyx Fragment,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24286,26,Scale,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24348,28,Claw,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,19741,139,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24298,38,Totem,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24274,28,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24344,20,Bone,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24292,27,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24280,28,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24354,22,Fang,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,300,24280,29,Venom Sac,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,19741,123,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,19730,84,Coarse Leather Section,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24348,20,Claw,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24292,23,Vial of Blood,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24298,18,Totem,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24274,22,Pile of Radiant Dust,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24354,20,Fang,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24344,24,Bone,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24286,23,Scale,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,24307,1,Onyx Fragment,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,222,24298,20,Totem,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,19741,78,Cotton Scrap,,,,,,,,,,,,,,,,,,,,
