,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manually adjust conditional format range in M:M to highlight ID after copy pasting,,,,,,,,,,,,,,,,,,,,,,
,MASTER SAMPLE,,,,,,,,,,,,,,,CURRENT INVENTORY,,,,,,,,,,,,,,,,,,
,Name,Sample Size,Bag Value,,,,,,,,,,,,,"after doing the function, copy paste over to the M-O columns :)",,,,,,,,,,,,,,,,,,
,SALVAGEABLE INTACT FORGED SCRAPS,220,197.7,copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,Count,Name,Sell,Buy,Profit,Gross Revenue,Rate,Value,,sample size,Paste results here and note sample size in the L column,,,,Get Inventory Here-->,,,,,,,,,,,,,,,,,,
,19700,882,Mithril Ore,44,43,37.4,38808,4.009090909,149.9,,100,19700,417,mithril ore,,,,,,,,,,,,,,,,,,,,
,19701,69,Orichalcum Ore,156,137,132.6,10764,0.3136363636,41.6,,,19701,33,orichalcum ore,,,,,,,,,,,,,,,,,,,,
,82582,42,Sliver of Twitching Forgemetal,38,0,32.3,1596,0.1909090909,6.2,,,82582,13,sliver of twitching forgemetal,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,120,19700,465,mithril ore,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,19701,36,orichalcum ore,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,82582,29,sliver of twitching forgemetal,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,0, , , , , ,0, ,,,,,,,,,,,,,,,,,,,,,,,,,
